Instancias,Plantas,Produtos,Periodos,Bin_vars,Setup_time,Setup_cost,Capacidade,Obj_RF_1_0,Time_RF_1_0,Obj_RF_2_0,Time_RF_2_0,Obj_RF_2_1,Time_RF_2_1,Obj_RF_3_0,Time_RF_3_0,Obj_RF_3_1,Time_RF_3_1,Obj_RF_3_2,Time_RF_3_2,Obj_RF_4_0,Time_RF_4_0,Obj_RF_4_1,Time_RF_4_1,Obj_RF_4_2,Time_RF_4_2,Obj_RF_4_3,Time_RF_4_3,Obj_RF_6_0,Time_RF_6_0,Obj_RF_6_1,Time_RF_6_1,Obj_RF_6_2,Time_RF_6_2,Obj_RF_6_3,Time_RF_6_3,Obj_RF_6_4,Time_RF_6_4,Obj_RF_6_5,Time_RF_6_5,Obj_RF_T_0,Time_RF_T_0
ABA04_12_4_10,4,10,12,480,high,normal,tight,94166.66,3.6,94139.47,3.45,94121.72,6.32,94087.79,5.38,94076.76,5.7,94076.76,10.7,94116.4,7,94088.57,9,94076.76,15.8,94076.76,20.3,94076.76,45.78,94076.76,56.8,94076.76,90.6,94076.76,108.24,94076.76,155.49,94076.76,224.83,94076.76,1276.4
ABA04_12_4_60,4,60,12,2880,high,normal,tight,543579.47,19.8,543364.59,25.8474,543183.25,56.81,543236.63,48.99,543111.8,83.3,543121.91,87.1,543210.07,114.1,543142.9,144.2,543105.02,153.3,543083.59,356.4,543070.23,211.66,543094.62,267.63,543077.78,376.9,543048.06,733.09,543056.49,1070.33,543052.28,1243.77,543049.49,1800.1
ABA04_12_4_120,4,120,12,5760,high,normal,tight,1067888.3,43,1067548.49,59.9924,1067398.35,92.69,1067392.03,93.82,1067312.54,88.7,1067462.99,97.2,1067311.42,95.9,1067324.36,156.5,1067311.64,141.3,1067298.65,364,1067256.3,180.15,1067219.84,243.01,1067238.87,267.6,1067264.26,374.6,1067234.05,529.72,1067250.78,748.22,1067217.03,815.6
ABA04_12_6_10,6,10,12,720,high,normal,tight,138756.88,4.9,138678.17,7.88,138662.45,14.54,138653.69,9.17,138659.08,11.3,138658.55,20.8,138654.98,13.6,138659.98,14.1,138652.96,20.8,138652.96,48,138652.81,104.61,138658.55,123.53,138652.81,135.9,138652.81,206.77,138652.81,217.36,138652.81,412.14,138652.81,1800.1
ABA04_12_6_60,6,60,12,4320,high,normal,tight,795451.51,36.2,795264.56,50.9329,795133.88,73.96,795151.38,67.85,795142.19,79,795011.88,154.7,795071.92,94.1,795028.07,163,795011.13,194.2,795032.14,441.6,795014.58,232.12,795079.72,188.31,794996.01,428.2,795004.66,414.83,795020.21,649.11,795002.46,605.54,794976.83,1163
ABA04_12_6_120,6,120,12,8640,high,normal,tight,1567556.76,119.9,1567156.73,169.93,1566743.82,250.22,1566882.18,309.52,1566527.21,396.6,1566586.06,530.2,1566661.65,229.1,1566557.29,570.1,1566575.51,619.5,1566682,1110.7,1566548.41,606.69,1566510.34,874.45,1566582.63,873.3,1566501.05,1085.84,1566680.35,1621.49,1566573.43,1560.27,1566484.79,1800.5
ABA04_12_15_10,15,10,12,1800,high,normal,tight,323328.73,22,323244.55,38.17,323233.93,52.57,323226.53,53.87,323230.06,58.2,323226.53,78.3,323239.49,93.6,323234.34,80.5,323240.14,165.3,323230.18,230.7,323229.55,108.01,323239.44,209.47,323230.94,232.9,323229.55,368.93,323229.15,308.83,323229.15,500.24,323226.26,942.5
ABA04_12_15_60,15,60,12,10800,high,normal,tight,1804469.72,351.6,1803953.5,528.7953,1803992.25,849.58,1803794.21,754.87,1803727.6,1248.3,1804684.07,1761.3,1803661.18,1316,1803704.43,1523.9,1803861.8,1726.1,1804970.61,1802.4,1803971.64,1334.96,1804038.55,1402.6,1803755.11,1716.6,1803931.46,1800.94,1804148,1800.78,1804534.86,1801.74,1804771.45,1800.5
ABA04_12_15_120,15,120,12,21600,high,normal,tight,3646206.08,1439.3,3645412.77,1455.7,3793052.8,1564.01,3642710.25,1181.5,3651049.59,1559.1,8670875.69,1793.5,3642801.1,1688.5,3642653.89,1689.6,4591025.91,1801.9,8787979.02,1804,3642447.44,1801.39,4280103.75,1442.79,3647259,1801.4,3652089.59,1800.51,3644159.9,1800.59,8665652,1800.98,3646165.61,1800.1
ABA04_12_20_10,20,10,12,2400,high,normal,tight,420330.38,150.7,420267.68,528.38,420245.65,699.46,420228.19,1239.17,420246.7,1172.5,420337.45,1745.6,420247.1,1717.8,420244.7,1762.1,420280.43,1800.5,420325.79,1800.8,420333.38,1800.93,420385.27,1370.33,420397.02,1800.4,420362.8,1800.35,420465.71,1800.3,420442.5,1803.17,420324.59,1800.4
ABA04_12_20_60,20,60,12,14400,high,normal,tight,2389766.55,1164.6,2389605.95,1042.19,2392004.61,1507.44,2388878.77,1459.68,2388799.67,1160.9,2500400.6,1803.8,2389076.24,1733.1,2390642.9,1657.2,2392768.43,1802,2393811.23,1802.1,2389097.2,1800.64,2392506.04,1514.33,2390525.96,1801.1,2392039.54,1801.21,2391483.55,1801.16,5106207.65,1802.13,2391745.27,1800.7
ABA04_12_20_120,20,120,12,28800,high,normal,tight,5165521.5,1650.1,5793080.6,1635.67,6425000.99,1789.65,5258187.63,1561.58,6509191.97,1720.6,6668048.38,1803,5413729.93,1687.9,11030262.31,1802.2,6513504.83,1801.1,11511859.95,1802.6,10608183.24,1801.67,5675680.17,1666.63,6069054.23,1800.9,10869848.33,1800.67,11447356.15,1800.77,12789435.63,1804.13,4782020.68,1800.1
ABB00_12_2_10,2,10,12,240,normal,normal,tight,42743.73,1,42672.38,2.38,42679.02,1.87,42711.37,0.84,42655.08,1.4,42655.08,1.7,42672.38,1.9,42655.08,2,42655.88,2.9,42655.08,2.6,42698.04,4.33,42664.57,1.16,42655.88,2.4,42655.88,3.02,42655.08,3.16,42655.08,6.02,42655.08,7.8
ABB00_12_2_60,2,60,12,1440,normal,normal,tight,288889.16,9.5,287538.97,8.78,286963.8,13.37,287019.94,10.25,286649.7,17,286538.96,27,286921.2,13.7,286550.81,25.9,286387.52,23.5,286352.66,41,286635.04,73.62,286457.75,30.49,286358.96,41.5,286324.2,117.86,286301.43,97.3,286283.95,258.88,286272.95,1487.8
ABB00_12_2_120,2,120,12,2880,normal,normal,tight,576386.59,17.2,574201.41,17.06,572987.39,45.29,573484.74,15,572696.73,41.9,572598.34,58.5,573062.59,27,572565.31,78.6,572466.49,53.4,572413.4,104.3,572844.89,125,572481.41,114.59,572380.28,196.4,572360.66,121.21,572358.11,211.84,572344.91,479.26,572334.84,564.1
ABB00_12_4_10,4,10,12,480,normal,normal,tight,89432.18,3.8,89362.16,6.98,89337.58,9.06,89289.91,3.84,89278.26,9.2,89270.86,17.6,89318.6,9.1,89262.4,20.4,89261.86,17.4,89258.85,25.9,89266.35,115.57,89269.88,51.39,89261.86,68.9,89250.76,101.09,89246.63,135.51,89246.63,273.31,89246.63,1800
ABB00_12_4_60,4,60,12,2880,normal,normal,tight,524527.57,22.1,524250.49,36.3208,524020.01,32.6,524001.2,60.71,523942.34,126.5,523888.07,149.1,524006.47,111.7,523896.7,188.7,523873.31,246.8,523871.47,316.8,523897.51,984.18,523861.83,731.17,523845.85,709.2,523844.29,776.94,523831.67,897.44,523847.75,1168.34,523841.51,1800.1
ABB00_12_4_120,4,120,12,5760,normal,normal,tight,1073072.19,49.6,1072287.6,71.31,1071932.19,112.93,1072093.45,73.31,1071837.13,164.4,1071746.03,180.5,1072020.63,94.2,1071790.26,250.7,1071732.03,266.3,1071705.64,478,1071795.97,323.4,1071693.26,332.35,1071706.41,463.2,1071676.43,611.29,1071661.55,485.65,1071663.26,1352.28,1071663.48,1800.4
ABB00_12_6_10,6,10,12,720,normal,normal,tight,132808.37,6.7,132843.41,16.35,132768.26,29.56,132770.34,33.74,132746.35,52.5,132745.46,85.3,132751.34,114.4,132734.81,78.4,132745.46,154,132731.06,263.3,132770.34,421.17,132750.64,441.59,132745.46,424.5,132731.06,570.83,132731.06,523.92,132731.06,1318.79,132734.91,1800.2
ABB00_12_6_60,6,60,12,4320,normal,normal,tight,776002.99,44.4,775819.51,45.67,775730.63,112.37,775654.56,110.71,775694.14,199.2,775697.79,202.5,775591.62,181.6,775653.81,300.8,775601.18,318.2,775589.74,453.6,775599.76,516.69,775608.99,305.39,775623.89,402,775578.17,565.37,775606.22,773.14,775601.41,1349.13,775568.82,1800
ABB00_12_6_120,6,120,12,8640,normal,normal,tight,1561047.37,73.3,1560781.86,126.97,1560595.19,168.52,1560602.83,99.01,1560450.39,272,1560454.19,401.6,1560465.74,199.8,1560504.89,330.5,1560356.52,393,1560385.76,672,1560365.3,445.24,1560457.48,212.62,1560313.94,429.4,1560322.84,426.79,1560337.09,981.52,1560391.22,1552.96,1560265.77,1800.3
ABB00_12_15_10,15,10,12,1800,normal,normal,tight,301133.9,32.8,301075.64,64.41,301037.11,120.1,301039.14,154.37,301031.5,272.4,301029.22,439.7,301028.17,498.6,301029.04,700.4,301028.17,771.8,301028.17,1027.5,301034.68,1800.29,301029.48,1213.27,301030.01,1257.2,301029.28,1710.32,301030.88,1800.47,301029.48,1800.41,301030.25,1800.1
